bucket,category,bucket_count,test_class,test_method,params,error_summary,full_test_id
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIME('00:00:00') < DATE('1961-04-12') => false},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIME('00:00:00') < DATE('1961-04-12') => false}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIME('00:00:00') < DATE('2020-09-16') => false},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIME('00:00:00') < DATE('2020-09-16') => false}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIME('00:00:00') <= DATE('1961-04-12') => false},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIME('00:00:00') <= DATE('1961-04-12') => false}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIME('00:00:00') <= DATE('2020-09-16') => false},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIME('00:00:00') <= DATE('2020-09-16') => false}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIME('00:00:00') = DATE('2026-06-08') => true #2},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIME('00:00:00') = DATE('2026-06-08') => true #2}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIME('00:00:00') = DATE('2026-06-08') => true},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIME('00:00:00') = DATE('2026-06-08') => true}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIME('00:00:00') > DATE('1961-04-12') => true},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIME('00:00:00') > DATE('1961-04-12') => true}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIME('00:00:00') > DATE('2020-09-16') => true},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIME('00:00:00') > DATE('2020-09-16') => true}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIME('00:00:00') >= DATE('1961-04-12') => true},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIME('00:00:00') >= DATE('1961-04-12') => true}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIME('00:00:00') >= DATE('2020-09-16') => true},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIME('00:00:00') >= DATE('2020-09-16') => true}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIME('09:07:00') != DATE('2026-06-08') => true #2},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIME('09:07:00') != DATE('2026-06-08') => true #2}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIME('09:07:00') != DATE('2026-06-08') => true},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIME('09:07:00') != DATE('2026-06-08') => true}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIME('09:07:00') != TIMESTAMP('1984-12-15 22:15:07') => true},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIME('09:07:00') != TIMESTAMP('1984-12-15 22:15:07') => true}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIME('09:07:00') = DATE('2026-06-08') => false #2},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIME('09:07:00') = DATE('2026-06-08') => false #2}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIME('09:07:00') = DATE('2026-06-08') => false},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIME('09:07:00') = DATE('2026-06-08') => false}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIME('09:07:00') = TIMESTAMP('1984-12-15 22:15:07') => false},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIME('09:07:00') = TIMESTAMP('1984-12-15 22:15:07') => false}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIME('10:20:30') != TIMESTAMP('2026-06-08 10:20:30') => false #2},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIME('10:20:30') != TIMESTAMP('2026-06-08 10:20:30') => false #2}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIME('10:20:30') != TIMESTAMP('2026-06-08 10:20:30') => false},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIME('10:20:30') != TIMESTAMP('2026-06-08 10:20:30') => false}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIME('10:20:30') < TIMESTAMP('2026-06-08 10:20:30') => false},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIME('10:20:30') < TIMESTAMP('2026-06-08 10:20:30') => false}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIME('10:20:30') <= TIMESTAMP('2026-06-08 10:20:30') => true},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIME('10:20:30') <= TIMESTAMP('2026-06-08 10:20:30') => true}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIME('10:20:30') = TIMESTAMP('2026-06-08 10:20:30') => true #2},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIME('10:20:30') = TIMESTAMP('2026-06-08 10:20:30') => true #2}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIME('10:20:30') = TIMESTAMP('2026-06-08 10:20:30') => true},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIME('10:20:30') = TIMESTAMP('2026-06-08 10:20:30') => true}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIME('10:20:30') > TIMESTAMP('2026-06-08 10:20:30') => false},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIME('10:20:30') > TIMESTAMP('2026-06-08 10:20:30') => false}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIME('10:20:30') >= TIMESTAMP('2026-06-08 10:20:30') => true},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIME('10:20:30') >= TIMESTAMP('2026-06-08 10:20:30') => true}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIME('20:50:40') < TIMESTAMP('2026-06-08 10:20:30') => false},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIME('20:50:40') < TIMESTAMP('2026-06-08 10:20:30') => false}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIME('20:50:40') <= TIMESTAMP('2026-06-08 10:20:30') => false},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIME('20:50:40') <= TIMESTAMP('2026-06-08 10:20:30') => false}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIME('20:50:40') > TIMESTAMP('2026-06-08 10:20:30') => true},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIME('20:50:40') > TIMESTAMP('2026-06-08 10:20:30') => true}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIME('20:50:40') >= TIMESTAMP('2026-06-08 10:20:30') => true},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIME('20:50:40') >= TIMESTAMP('2026-06-08 10:20:30') => true}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIME('22:15:07') != TIMESTAMP('1984-12-15 22:15:07') => true},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIME('22:15:07') != TIMESTAMP('1984-12-15 22:15:07') => true}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIME('22:15:07') <= TIMESTAMP('1984-12-15 22:15:07') => false},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIME('22:15:07') <= TIMESTAMP('1984-12-15 22:15:07') => false}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIME('22:15:07') = TIMESTAMP('1984-12-15 22:15:07') => false},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIME('22:15:07') = TIMESTAMP('1984-12-15 22:15:07') => false}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIME('22:15:07') > TIMESTAMP('1984-12-15 22:15:07') => true},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIME('22:15:07') > TIMESTAMP('1984-12-15 22:15:07') => true}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIMESTAMP('1977-07-08 10:20:30') >= TIME('10:20:30') => false},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIMESTAMP('1977-07-08 10:20:30') >= TIME('10:20:30') => false}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIMESTAMP('1984-12-15 10:20:30') != TIME('10:20:30') => true},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIMESTAMP('1984-12-15 10:20:30') != TIME('10:20:30') => true}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIMESTAMP('1984-12-15 10:20:30') < TIME('10:20:30') => true},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIMESTAMP('1984-12-15 10:20:30') < TIME('10:20:30') => true}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIMESTAMP('1984-12-15 10:20:30') <= TIME('10:20:30') => true},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIMESTAMP('1984-12-15 10:20:30') <= TIME('10:20:30') => true}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIMESTAMP('1984-12-15 10:20:30') = TIME('10:20:30') => false},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIMESTAMP('1984-12-15 10:20:30') = TIME('10:20:30') => false}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIMESTAMP('1984-12-15 10:20:30') > TIME('10:20:30') => false},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIMESTAMP('1984-12-15 10:20:30') > TIME('10:20:30') => false}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIMESTAMP('1984-12-15 10:20:30') >= TIME('10:20:30') => false},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIMESTAMP('1984-12-15 10:20:30') >= TIME('10:20:30') => false}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIMESTAMP('2020-09-16 10:20:30') != TIME('09:07:00') => true},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIMESTAMP('2020-09-16 10:20:30') != TIME('09:07:00') => true}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIMESTAMP('2020-09-16 10:20:30') < TIME('09:07:00') => true},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIMESTAMP('2020-09-16 10:20:30') < TIME('09:07:00') => true}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIMESTAMP('2020-09-16 10:20:30') = TIME('09:07:00') => false},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIMESTAMP('2020-09-16 10:20:30') = TIME('09:07:00') => false}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIMESTAMP('2026-06-08 10:20:30') != TIME('10:20:30') => false #2},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIMESTAMP('2026-06-08 10:20:30') != TIME('10:20:30') => false #2}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIMESTAMP('2026-06-08 10:20:30') != TIME('10:20:30') => false},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIMESTAMP('2026-06-08 10:20:30') != TIME('10:20:30') => false}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIMESTAMP('2026-06-08 10:20:30') < TIME('10:20:30') => false},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIMESTAMP('2026-06-08 10:20:30') < TIME('10:20:30') => false}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIMESTAMP('2026-06-08 10:20:30') <= TIME('10:20:30') => true},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIMESTAMP('2026-06-08 10:20:30') <= TIME('10:20:30') => true}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIMESTAMP('2026-06-08 10:20:30') = TIME('10:20:30') => true #2},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIMESTAMP('2026-06-08 10:20:30') = TIME('10:20:30') => true #2}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIMESTAMP('2026-06-08 10:20:30') = TIME('10:20:30') => true},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIMESTAMP('2026-06-08 10:20:30') = TIME('10:20:30') => true}
